Course ID,Section,Date,Professor,Professor Score,Difficulty
ARTV 23801,1,Spring 2015,Scott Wolniak,5.898697816204110,6.60
ARTV 23801,1,Autumn 2016,Scott Wolniak,5.960457031338640,6.00
ITAL 20600,1,Spring 2020,Veronica Vegna,9.928,N/A
HMRT 25503,1,Spring 2020,"Alejandra Azuero Quijano, Rachel Howard",9.632,N/A
HEBR 10501,1,Autumn 2020,Ari Almog,6.953547302207850,N/A
HEBR 10501,1,Autumn 2016,Ari Almog,8.995000000000000,4.71
HEBR 10501,1,Autumn 2018,Ari Almog,9.665,4.19
HEBR 10501,1,Autumn 2017,Ari Almog,9.14,4.64
HEBR 10501,1,Autumn 2019,Ari Almog,9.8,N/A
HEBR 10501,1,Autumn 2014,Ari Almog,9.755000000000000,5.56
HEBR 10501,1,Autumn 2015,Ari Almog,9.625,4.25
BIOS 20189,1,Spring 2020,"Amanda Brock, Wei Du, Akira Imamoto, Elizabeth Kovar",N/A,N/A
BIOS 20189,1,Winter 2020,"Robert Ho, Sally Horne-Badovinac, Elizabeth Kovar, Christopher Schonbaum",N/A,N/A
HUMA 20710,1,Autumn 2020,Christine Bohlman,6.523750906732900,N/A
HUMA 20710,1,Winter 2021,Christine Bohlman,5.860535320452230,N/A
HUMA 20710,1,Autumn 2014,Christine Bohlman,5.307927715375020,4.67
HUMA 20710,1,Autumn 2015,Christine Bohlman,9.796666666666670,6.67
HUMA 20710,1,Autumn 2016,Christine Bohlman,8.155068276682370,8.00
HUMA 20710,1,Spring 2015,Christine Bohlman,7.81903076663809,9.50
HUMA 20710,1,Spring 2016,Christine Bohlman,7.822741960301590,6.33
HUMA 20710,1,Spring 2017,Christine Bohlman,6.239286190549460,7.00
HUMA 20710,1,Winter 2015,Christine Bohlman,7.150526820976120,7.67
HUMA 20710,1,Winter 2016,Christine Bohlman,7.887779511866300,5.33
HUMA 20710,1,Winter 2017,Christine Bohlman,5.636667545922820,8.75
HUMA 20710,1,Winter 2020,Christine Bohlman,7.430080818294390,N/A
HUMA 20710,1,Spring 2020,Christine Bohlman,9.276152375090680,N/A
HUMA 20710,1,Autumn 2019,Christine Bohlman,6.478728742150810,N/A
TURK 10101,1,Autumn 2020,Kagan Arik,9.95,N/A
TURK 10101,1,Autumn 2014,Kagan Arik,9.625,6.67
TURK 10101,1,Autumn 2015,Kagan Arik,9.275,4.21
TURK 10101,1,Autumn 2016,Kagan Arik,9.7,5.33
TURK 10101,1,Autumn 2018,Kagan Arik,10.0,7.50
TURK 10101,1,Autumn 2019,Kagan Arik,N/A,N/A
HUMA 12050,1,Autumn 2020,Christopher Faraone,6.280079426144990,N/A
HUMA 12050,1,Autumn 2016,Jonah Radding,6.403553111522560,8.69
HUMA 12050,1,Autumn 2019,Christopher Wild,8.230847400689600,N/A
HUMA 12050,2,Autumn 2020,Alexis Chema,6.246550350898590,N/A
HUMA 12050,2,Autumn 2016,Pablo Maurette,6.243486430319810,6.90
HUMA 12050,2,Autumn 2019,Stephen Haswell Todd,7.996570540040130,N/A
HUMA 12050,3,Autumn 2020,Stephen Haswell Todd,6.269838242957080,N/A
HUMA 12050,3,Autumn 2016,Mark Payne,6.595905505603170,5.75
HUMA 12050,3,Autumn 2019,Katherine Kadue,7.109597447808690,N/A
HUMA 12050,4,Autumn 2020,Stephen Haswell Todd,6.259070057762450,N/A
HUMA 12050,4,Autumn 2016,Pablo Maurette,7.615629652624560,6.64
HUMA 12050,4,Autumn 2019,Stephen Haswell Todd,5.6772514496047500,N/A
HUMA 12050,5,Autumn 2020,Alexis Chema,5.055120791157130,N/A
HUMA 12050,5,Autumn 2016,Raymond Ciacci,7.0449217576834900,6.20
HUMA 12050,5,Autumn 2019,Katherine Kadue,5.584047396254870,N/A
HUMA 12050,6,Autumn 2020,David Wray,5.086502788341080,N/A
HUMA 12050,6,Autumn 2016,Michele Lowrie,5.898177015002960,6.67
HUMA 12050,6,Autumn 2019,Stephen Haswell Todd,7.675399104183070,N/A
HUMA 12050,7,Autumn 2020,Emily Austin,8.308843863986610,N/A
HUMA 12050,7,Autumn 2016,David Wray,5.676856658203710,5.56
HUMA 12050,7,Autumn 2019,Maria C Von Nolcken,6.575749304300590,N/A
HUMA 12050,8,Autumn 2020,Stephen Haswell Todd,5.98021260130603,N/A
HUMA 12050,8,Autumn 2016,Kenneth Yu,8.762499984601610,5.83
HUMA 12050,8,Autumn 2019,Christopher Faraone,5.972056598334760,N/A
HUMA 12050,9,Autumn 2020,Katherine Kadue,5.715239597769330,N/A
HUMA 12050,9,Autumn 2016,Joshua K Scodel,4.9137099287608700,7.75
HUMA 12050,9,Autumn 2019,Andrew Horne,6.043707562335780,N/A
HUMA 12050,1,Autumn 2020,Katherine Kadue,5.6043167732851400,N/A
HUMA 12050,1,Autumn 2019,Madadh Richey,5.438910385046070,N/A
